id,postcode,woonplaats,alternatieve_schrijfwijzen,gemeente,provincie,netnummer,latitude,longitude,soort
626,2180,Hillegom,,Hillegom,Zuid-Holland,252,52.2912973,4.5787866,Postbus
629,2190,De Zilk,,Noordwijkerhout,Zuid-Holland,252,52.3025745,4.5356369,Postbus
631,2200,Noordwijk,Noordwijk Zh;Noordwijk aan Zee,Noordwijk,Zuid-Holland,71,52.2340226,4.4489376,Postbus
636,2210,Noordwijkerhout,NOORDWYKERHOUT,Noordwijkerhout,Zuid-Holland,252,52.2636557,4.4938581,Postbus
638,2215,Voorhout,,Teylingen,Zuid-Holland,252,52.2223012,4.4863318,Adres + Postbus
639,2220,Katwijk,KATWYK;Katwijk Zh,Katwijk,Zuid-Holland,71,52.2024122,4.3973005,Postbus
645,2230,Rijnsburg,RYNSBURG,Katwijk,Zuid-Holland,71,52.2024122,4.3973005,Postbus
647,2235,Valkenburg,,Katwijk,Zuid-Holland,71,52.1793927,4.4327928,Adres
648,2240,Wassenaar,,Wassenaar,Zuid-Holland,70,52.1181716,4.3704176,Postbus
654,2250,Voorschoten,,Voorschoten,Zuid-Holland,71,52.1243035,4.4461047,Postbus
659,2260,Leidschendam,,Leidschendam-Voorburg,Zuid-Holland,70,52.0767974,4.3976002,Postbus
667,2270,Voorburg,,Leidschendam-Voorburg,Zuid-Holland,70,52.0869388,4.3185376,Postbus
673,2280,Rijswijk,Rijswijk Zh,Rijswijk,Zuid-Holland,70,52.05558,4.33495,Postbus
683,2290,Wateringen,,Westland,Zuid-Holland,174,52.0216313,4.2354561,Postbus
686,2295,Kwintsheul,,Westland,Zuid-Holland,174,52.0151806,4.2561308,Adres
687,2300,Leiden,,Leiden,Zuid-Holland,71,52.1581881,4.4912006,Postbus
707,2340,Oegstgeest,,Oegstgeest,Zuid-Holland,71,52.1783182,4.462724,Postbus
711,2350,Leiderdorp,,Leiderdorp,Zuid-Holland,71,52.0851211,4.3936825,Adres + Postbus
715,2355,Hoogmade,,Kaag en Braassem,Zuid-Holland,71,52.1688532,4.5828795,Adres
716,2360,Warmond,,Teylingen,Zuid-Holland,71,52.2071287,4.5149711,Postbus
719,2370,Roelofarendsveen,,Kaag en Braassem,Zuid-Holland,71,52.1831065,4.5910855,Postbus
721,2374,Oud-Ade,OUD ADE,Kaag en Braassem,Zuid-Holland,71,52.1916423,4.5664685,Adres
722,2375,Rijpwetering,RYPWETERING,Kaag en Braassem,Zuid-Holland,71,52.193109,4.5823688,Adres
723,2376,Nieuwe Wetering,,Kaag en Braassem,Zuid-Holland,71,52.204891,4.6158037,Adres
724,2377,Oude Wetering,,Kaag en Braassem,Zuid-Holland,71,52.214167,4.644444,Adres
725,2380,Zoeterwoude,,Zoeterwoude,Zuid-Holland,71,52.1155235,4.4857634,Postbus
728,2390,Hazerswoude Dorp,,Rijnwoude,Zuid-Holland,172,52.0751101,4.5445181,Postbus
730,2394,Hazerswoude Rijndijk,HAZERSWOUDE RYNDYK,Rijnwoude,Zuid-Holland,71,52.129167,4.593056,Adres + Postbus
731,2396,Koudekerk aan den Rijn,KOUDEKERK AD RYN,Rijnwoude,Zuid-Holland,71,52.1322767,4.5983776,Adres + Postbus
732,2400,Alphen aan den Rijn,ALPHEN AAN DEN RYN;Alphen a/d Rijn,Alphen aan den Rijn,Zuid-Holland,172,52.1194105,4.6437515,Postbus
742,2410,Bodegraven,,Bodegraven,Zuid-Holland,172,52.0661976,4.7407101,Postbus
744,2415,Nieuwerbrug,,Bodegraven,Zuid-Holland,348,52.0778881,4.8127843,Adres
745,2420,Nieuwkoop,,Nieuwkoop,Zuid-Holland,172,52.1550943,4.788442,Postbus
747,2430,Noorden,,Nieuwkoop,Zuid-Holland,172,51.8725637,4.604099,Postbus
750,2435,Zevenhoven,,Nieuwkoop,Zuid-Holland,172,52.1802606,4.7817564,Adres
